ID,LAT,LON,panoId,LAG,HAG,LOWELEV_ST,FFE_ft,DEM_ft,camera_height_m,image_date,elevation_wgs84_m,elevation_egm96_m,pano_lat,pano_lng
762,36.791291,-76.281749,dXej90EVpTWWL4OA_VKrmw,7.6,8.6,8.2,9.8,5.77753,2.407916546,2019-04,-35.294504,3.289088,36.791497,-76.2817
772,36.822734,-76.371065,7DSUTJph_f_15WSfwAE4Iw,8.1,8.5,8.1,11.6,6.9637,2.466125011,2019-04,-34.888622,3.402348,36.822725,-76.37134
774,37.110459,-76.399398,uBDq0NVhCtz0gADI9Tgiog,8,8.5,7.5,12.2,8.18311,2.916662693,2015-09,-33.764979,4.001267,37.110262,-76.399534
809,37.135073,-76.414406,_nvQUBXxQ7DF80PC8PQk4A,7.862,7.962,7.862,10.362,6.24081,2.925751686,2015-09,-34.11835,3.559987,37.135361,-76.414396
815,37.105237,-76.405356,6JXKkYhYhoXbXIcCANuUXQ,7.711,8.811,0,11.311,8.17422,2.92364645,2015-9,-999,3.830919504,37.10547585,-76.40550381
817,37.105196,-76.405609,6JXKkYhYhoXbXIcCANuUXQ,8.611,9.811,0,13.311,8.17422,2.92364645,2015-9,-999,3.830919504,37.10547585,-76.40550381
819,37.107058,-76.402954,Edj-ji5irRd1-rZCRmzM6A,7.698,8.398,,11.998,6.63835,2.911234856,2015-09,-34.377707,3.385789,37.107252,-76.403155
820,37.107652,-76.402926,nt9kvt1bmNv-JWDYqvr19Q,7.194,7.794,0,11.894,6.67316,2.930048227,2015-9,-999,3.417212009,37.10743639,-76.40267868
821,37.107183,-76.40377,xcHxlLFZcaC1tuw4m0_Szg,7.301,7.401,,11.201,6.11432,2.899309635,2015-09,-34.357071,3.405727,37.107036,-76.40365
823,37.109232,-76.412651,PnWAbGmbYOxB9ol4Yi0h-w,8.63,9.33,,12.33,9.94056,2.944479227,2015-09,-33.322862,4.413294,37.109415,-76.412471
824,37.108713,-76.411829,ZngQZGKdUP6U-8X3QuLIpw,8.54,9.48,,12.43,8.43449,2.917323351,2015-09,-33.841195,3.897933,37.108929,-76.411662
827,37.106135,-76.405115,vjnti4SZL1niDhx35bkmpw,7.707,8.907,,13.107,8.19013,2.914612055,2015-09,-33.805344,3.954708,37.106225,-76.405353
835,37.107066,-76.40404,uVBVJC9PqYSvegMoO0YEyQ,6.901,7.401,,11.901,5.92437,2.919011831,2015-09,-34.527739,3.234755,37.106933,-76.403887
837,37.105951,-76.403247,BG5mFYqNE0dp34cSP3QLBA,9.901,10.501,0,14.001,7.69202,2.922964573,2015-9,-999,3.752848387,37.1058508,-76.40354889
838,37.106348,-76.403692,0pMAVwAO6qqkHGTmqgDHTA,8.801,9.201,,12.901,8.03991,2.937473297,2015-09,-33.638593,4.124907,37.106301,-76.403926
840,37.106745,-76.403576,EV5_37OtLRTB6HxwvjOkwg,7.901,8.101,,11.701,5.87249,2.878615141,2015-09,-34.47125,3.291434,37.106985,-76.403768
841,37.106979,-76.4032,j-88u9mTyiqND_A17_OPGQ,7.998,8.298,,11.698,6.44544,2.918449879,2015-09,-34.323963,3.43927,37.107166,-76.403353
842,37.107641,-76.402421,5GhzMRa4wYVe7wRwObl8jA,7.494,7.994,0,12.094,6.54222,2.92702198,2015-9,-999,3.368826866,37.10736326,-76.4025973
849,37.105651,-76.403886,BG5mFYqNE0dp34cSP3QLBA,10.804,11.104,,14.804,7.70084,2.922696352,2015-09,-34.103986,3.661395,37.105865,-76.403659
854,37.107387,-76.403356,WIhGcrF7eJpIAwSnkJ1hOQ,7.098,7.798,,11.798,6.54397,2.914366007,2015-09,-34.353489,3.409878,37.107209,-76.403254
855,37.110264,-76.398415,PRi7aRYT9oOQREXpB-t7Vw,6.278,6.578,,9.778,7.09469,2.909729004,2015-09,-34.148266,3.621048,37.110006,-76.398501
856,37.105741,-76.407294,O79m3IH3trceI9Uk-0R00Q,9.717,9.917,0,13.417,9.04566,2.921964645,2015-9,-999,4.105063915,37.1057209,-76.40698598
862,37.105441,-76.406641,SATAC6XWjIRr_Vetvugv1Q,8.117,9.217,0,13.317,8.6048,2.915438175,2015-9,-999,3.98334384,37.10579434,-76.40669859
863,37.105376,-76.406996,O79m3IH3trceI9Uk-0R00Q,9.617,9.717,0,14.117,9.04566,2.921964645,2015-9,-999,4.105063915,37.1057209,-76.40698598
865,37.18413,-76.453604,EsK7UfQB2qXHkrbuFnsk5Q,5.545,5.845,,9.045,4.44103,2.915458679,2016-03,-32.297252,5.186418,37.184357,-76.453636
889,37.163901,-76.43876,1AshEEeuS6tFAH3JqhSuzQ,8.222,9.092,8.592,11.732,7.31459,2.913144112,2015-09,-31.396818,6.163282,37.164079,-76.438992
907,37.196025,-76.429075,JGLeA8jeUbUtj9GTqNzY4A,6.225,6.325,,10.325,5.10843,2.907816887,2015-09,-33.107677,4.410859,37.196276,-76.429151
911,37.196884,-76.430435,IoMmMl0R9qDEWtqSGx99mA,5.825,5.825,,9.425,4.86598,2.920691013,2015-09,-33.113773,4.400154,37.197091,-76.430373
917,37.200642,-76.438375,TXVPEFbzqa8LokPExPTo-Q,7.929,8.229,,11.229,6.35546,2.922466516,2016-03,-31.130264,6.357838,37.200358,-76.438443
988,37.213403,-76.424417,0aAtbdM1wRIuXDiH0eqQHQ,6.425,6.825,6.725,10.925,6.14512,2.913205385,2015-09,-31.720287,5.774266,37.213404,-76.424705
994,37.219113,-76.422586,1_U-fD_eN7X0x7Ylj80bYA,4.222,4.522,,13.822,3.80684,2.969570398,2015-09,-33.501478,3.986036,37.219039,-76.42286
995,37.214329,-76.423206,hCLb2_vr1FdvQMAkKREH8Q,6.022,6.522,,9.622,5.82357,2.828583002,2016-05,-34.697927,2.797728,37.214283,-76.423492
996,37.213917,-76.423079,ET-hI3D_E2FJePRm-f-Nkw,5.522,6.422,,11.022,6.09302,2.919111013,2016-05,-32.426189,5.070645,37.213882,-76.423337
1000,37.213568,-76.425092,1nObxvt2Wnf4FUtMZ8Oaow,5.095,6.255,,9.675,6.19732,2.929924726,2015-09,-31.577888,5.916085,37.213599,-76.424768
1001,37.213657,-76.424469,1nObxvt2Wnf4FUtMZ8Oaow,6.625,6.825,,9.625,6.19732,2.929924726,2015-09,-31.577888,5.916085,37.213599,-76.424768
1005,37.211849,-76.428831,CqiF_Zne8IwgoUqRjuGrFg,5.625,6.025,,10.025,5.06343,2.919650793,2016-05,-32.562782,4.924641,37.212088,-76.428801
1011,37.211935,-76.420508,uQCWZ15cQkKsLQTn7Wfv_w,4.322,4.422,,9.622,4.17213,2.936774731,2016-05,-32.891321,4.617098,37.21195,-76.420188
1012,37.210409,-76.419702,ViIC5uCnV7DZhWc6l-AEgA,3.922,4.022,3.922,14.222,4.11614,2.937121153,2016-05,-32.612365,4.900818,37.210476,-76.419428
1013,37.212595,-76.422676,OOE9vTaK2j6tEZkUepm2Ig,5.822,5.922,,10.322,6.26178,2.913930416,2016-05,-32.165066,5.336357,37.212674,-76.422449
1014,37.213585,-76.422933,uly4OYGiPl2Zc-rXzv4aqw,6.322,6.722,,9.922,5.66364,2.912258148,2016-05,-32.370924,5.127058,37.213485,-76.42316
1015,37.20939,-76.425417,6JxtuGcZFdRrgzGOK-ropw,4.825,5.425,,10.765,5.06041,2.962288618,2016-05,-33.242707,4.258972,37.209475,-76.425078
1022,37.212892,-76.429064,oYqsv3YE7HnIR8Ssj_hcGA,5.625,6.225,,10.625,5.47763,2.97285223,2015-09,-32.550274,4.934028,37.212875,-76.429432
1023,37.213055,-76.422412,_1C8v_AW8fT7i7f0aeQJaw,5.822,6.122,,9.982,5.98792,2.922423601,2016-05,-32.245385,5.255027,37.212918,-76.422633
1747,36.921303,-76.19094,5ksDFUNC_28ZOPMm_Sjq6A,7.7,7.9,,8.9,5.49337,2.409073353,2019-04,-35.956778,2.682348,36.921301,-76.191157
1748,36.935999,-76.232369,4XGMP_VgaLgzufDFZxBKKQ,7.3,7.8,,9.1,7.27091,2.409106255,2019-04,-35.166578,3.341784,36.936051,-76.232608
1749,36.930524,-76.211633,a-b9G3ZF1A0LIOFsgsFeGQ,3.9,4.2,3.9,15.3,3.73672,2.311985493,2019-04,-36.222151,2.349966,36.930429,-76.211432
